Maternal ID,Pair ID,Thelier Stage,Day of Gestation,Slide ID,Process # ,ROI Label,Cyto Lining Decidual Vasculature?,>90% Cyto Coverage?,ZO-1 Collar?,"Has ""classic"" collar?",Vasculature+Collar Area,Vasculature Area,Collar Area,Mcherry Collar Intensity V+BA_Int,Mcherry Collar Intensity V+BA_Raw,Mcherry Collar Intensity VA_Int,Mcherry Collar Intensity VA_Raw,Mcherry Collar Intensity BA_Int,Mcherry Collar Intensity BA_Raw,GFP Collar Intensity V+BA_Int,GFP Collar Intensity V+BA_Raw,GFP Collar Intensity VA_Int,GFP Collar Intensity VA_Raw,GFP Collar Intensity BA_Int,GFP Collar Intensity BA_Int,Notes/Observations,
KG4J1,KCSUKJ,21,15.5,3.5A,2008,V4,0,0,0,0,,3034.164,0,,,,,0,0,,,,,0,0,,
KG4J1,KCSUKJ,21,15.5,3.5A,2008,V5,0,0,1,0,884.244,190.926,693.318,152826.759,362604,11472.417,27220,141354.342,335384,*VERY small,,,,#VALUE!,0,,
KG4J1,KCSUKJ,21,15.5,3.5A,2010,V1,0,0,1,0,1498.326,287.443,1210.883,229434.015,544366,10955.695,25994,218478.32,518372,9938.266,23580,913.326,2167,9024.94,21413,*Small *cuboidal,
KG4J1,KCSUKJ,21,15.5,3.5A,2010,V2,0,0,0,0,,693.318,-693.318,,,,,0,0,,,,,0,0,,
KG4J1,KCSUKJ,21,15.5,3.5A,2010,V3,0,0,1,0,3800.396,790.257,3010.139,538352.241,1277320,31380.138,74454,506972.103,1202866,17826.08,42295,1863.741,4422,15962.339,37873,*cuboidal,
KG4J1,KCSUKJ,21,15.5,3.5A,2010,V4,1,0,1,0,19997.072,897.731,19099.341,3577022.992,8487014,25063.565,59467,3551959.427,8427547,820625.968,1947056,8487.144,20137,812138.824,1926919,*nice band,
KG4J1,KCSUKJ,21,15.5,3.5A,2010,V5,0,0,1,0,4234.511,1874.278,2360.233,529301.17,1255845,65995.902,156585,463305.268,1099260,22016.757,52238,5009.594,11886,17007.163,40352,*cuboidal,
KG4J1,KCSUKJ,21,15.5,3.5A,2183,V1,0,0,1,0,5652.336,1591.05,4061.286,777725.365,1845268,67243.032,159544,710482.333,1685724,27724.727,65781,4344.093,10307,23380.634,55474,*pure red band,
KG4J1,KCSUKJ,21,15.5,3.5A,2183,V2,1,0,1,0,23213.732,2554.531,20659.201,3918345.107,9296851,104206.807,247246,3814138.3,9049605,870127.215,2064505,42003.714,99660,828123.501,1964845,*decent band,
KG4J1,KCSUKJ,21,15.5,3.5A,2183,V3,0,0,1,0,1749.944,241.081,1508.863,298086.865,707255,8451.741,20053,289635.124,687202,10797.222,25618,757.803,1798,10039.419,23820,*SMALL,
KG4J1,KCSUKJ,21,15.5,3.5B,2059,V1,0,0,1,0,3840.014,1227.321,2612.693,438264.462,1039847,31676.01,75156,406588.452,964691,16283.077,38634,2120.416,5031,14162.661,33603,*Kind of cuboidal,*could be more vasculature but looks very glandular
KG4J1,KCSUKJ,21,15.5,3.5B,2060,V1,0,0,1,0,19139.381,1909.681,17229.7,2974148.73,7056606,95677.094,227008,2878471.636,6829598,134049,318051,5889.624,13974,128159.376,304077,*all red band *oblong,
KG4J1,KCSUKJ,21,15.5,3.5B,2060,V2,1,0,1,1,19448.74,1392.116,18056.624,3420933.211,8116668,43821.094,103972,3377112.117,8012696,771492.243,1830479,12116.424,28748,759375.819,1801731,*decent band ,
KG4J1,KCSUKJ,21,15.5,3.5B,2061,V1,0,0,1,0,4725.523,2055.088,2670.435,602204.546,1428819,73147.829,173554,529056.717,1255265,26254.64,62293,5363.629,12726,20891.011,49567,*all red band *oblong,
KG4J1,KCSUKJ,21,15.5,3.5B,2061,V2,0,0,1,0,3944.118,1599.479,2344.639,561298.34,1331763,86978.372,206369,474319.968,1125394,22750.115,53978,5050.477,11983,17699.638,41995,*all red band *oblong,
KG4J1,KCSUKJ,21,15.5,3.5B,2061,V3,1,0,1,1,15836.741,1348.283,14488.458,2680290.053,6359383,37491.876,88955,2642798.177,6270428,699445.294,1659537,16275.912,38617,683169.382,1620920,*decent band,
KG4J1,KCSUKJ,21,15.5,3.5B,2061,V4,1,0,0,0,,1523.615,0,,,,,0,0,,,,,0,0,*No band *close to JZ * looks diff than most,
KG5H2,KCSUK5F,22,16.5,1.7D,1992,V1,1,1,1,1,55574.631,12570.768,43003.863,9236165.803,21914164,569318.495,1350792,8666847.308,20563372,3539992.625,8399154,201922.552,479091,3338070.073,7920063,*Borders JZ *large band,
KG5H2,KCSUK5F,22,16.5,1.7D,1992,V2,0,0,1,0,21249.682,7897.929,13351.753,2885879.817,6847175,367211.34,871263,2518668.477,5975912,881517.024,2091529,74015.215,175612,807501.809,1915917,*Borders JZ ,
KG5H2,KCSUK5F,22,16.5,1.7D,1992,V3,1,1,1,1,169020.064,50900.106,118119.958,24270782.94,57586008,1992029.734,4726384,22278753.21,52859624,11552362.55,27409682,855726.423,2030337,10696636.13,25379345,*Borders JZ *large band *CONTINUATION of vasculature that crosses all three zones,
KG5H2,KCSUK5F,22,16.5,1.7D,1993,V1,1,1,1,1,55608.77,11143.249,44465.521,9182427.939,21786663,460392.909,1092350,8722035.03,20694313,3635636.845,8626084,203439.423,482690,3432197.422,8143394,*Borders JZ *large band,*could be more vasculature but it looks pretty glandular (none have bands so shouldn't effect outcomes)
KG5H2,KCSUK5F,22,16.5,1.7D,1993,V2,0,0,1,0,18398.436,4929.093,13469.343,2734353.714,6487657,246446.236,584730,2487907.478,5902927,795532.9,1887519,55142.203,130833,740390.697,1756686,*Borders JZ ,
KG5H2,KCSUK5F,22,16.5,1.7D,1993,V3,1,0,1,1,102513.34,33702.438,68810.902,14844343.6,35220392,1274515.593,3023976,13569828.01,32196416,6389102.544,15159087,320647.319,760783,6068455.225,14398304,*Borders JZ *large band *CONTINUATION of vasculature that crosses all three zones,
KG5H2,KCSUK5F,22,16.5,1.7D,1994,V1,1,1,1,1,98803.981,19271.301,79532.68,18214795.23,43217285,920578.876,2184209,17294216.35,41033076,7745663.622,18377728,423703.512,1005299,7321960.11,17372429,*Borders JZ *large band,*could be more vasculature but it looks pretty glandular (none have bands so shouldn't effect outcomes)
KG5H2,KCSUK5F,22,16.5,5.7D,2120,V1,0,0,1,0,28155.891,12292.177,15863.714,3156563.536,7489412,344348.271,817017,2812215.265,6672395,1035250.365,2456284,75941.333,180182,959309.032,2276102,Borders JZ,
KG5H2,KCSUK5F,22,16.5,5.7D,2120,V2,1,1,1,1,284809.291,45689.892,239119.399,41149526.67,97633314,1428538.906,3389419,39720987.77,94243895,16711743.77,39651074,510894.726,1212173,16200849.05,38438901,*Borders JZ *large *nice classic band,
KG5H2,KCSUK5F,22,16.5,5.7D,2120,V3,1,1,0,0,,3606.099,0,,,,,0,0,,,,,0,0,*probably an edge piece to a piece of vasculature *near spot that looks like a band w/out any black space,
KG5H2,KCSUK5F,22,16.5,5.7D,2120,V4,1,1,0,0,,18596.949,0,,,,,0,0,,,,,0,0,*probably an edge piece to a piece of vasculature *near spot that looks like a band w/out any black space,
KG5H2,KCSUK5F,22,16.5,5.7D,2120,V5,1,1,1,1,94918.026,6039.667,88878.359,16222698.48,38490742,218258.734,517851,16004439.75,37972891,7837499.858,18595623,129832.613,308047,7707667.245,18287576,*Borders JZ *large *nice classic band *lots of cyto clumps in band,
KG5H2,KCSUK5F,22,16.5,5.7D,2121,V1,1,1,1,1,95989.825,4340.3,91649.525,19010627.79,45105515,307955.588,730670,18702672.21,44374845,8573063.879,20340857,98081.16,232712,8474982.719,20108145,*Oblong *borders decidua *classic band,
KG5H2,KCSUK5F,22,16.5,5.7D,2121,V2,1,1,1,1,70051.288,537.374,69513.914,12684179.31,30095084,39957.898,94806,12644221.42,30000278,5856932.427,13896435,47033.539,111594,5809898.888,13784841,*very small black space w/ large band *borders decidua *classic band,
KG5H2,KCSUK5F,22,16.5,5.7D,2121,V3,1,0,0,0,,1679.559,0,,,,,0,0,,,,,0,0,*upper part of decidua *thick cyto,
KG5H2,KCSUK5F,22,16.5,5.7D,2121,V4,1,0,1,0,50428.059,18079.383,32348.676,6863398.489,16284424,722138.933,1713381,6141259.556,14571043,2829208.098,6712713,309394.909,734085,2519813.189,5978628,*weird shape could be gland but looks like vasculature w/ band on dapi,
KG5H2,KCSUK5F,22,16.5,5.7D,2121,V5,1,0,0,0,,6880.079,0,,,,,0,0,,,,,0,0,*Oblong *borders decidua,
KG5H2,KCSUK5F,22,16.5,5.7D,2133,V1,1,1,1,1,193955.502,37192.211,156763.291,26951782.75,63947075,1333620.88,3164212,25618161.87,60782863,12669312.8,30059811,531354.572,1260717,12137958.23,28799094,*CHECK if in decidua or not ,
